"item","response","n","percent"
"mdib_ben_ext_server_2b","0",3,3.66
"mdib_ben_ext_server_2b","1",3,3.66
"mdib_ben_ext_server_2b","2",10,12.2
"mdib_ben_ext_server_2b","3",31,37.8
"mdib_ben_ext_server_2b","4",35,42.68
"mdib_ben_ext_server_2c","0",3,3.66
"mdib_ben_ext_server_2c","1",12,14.63
"mdib_ben_ext_server_2c","2",27,32.93
"mdib_ben_ext_server_2c","3",35,42.68
"mdib_ben_ext_server_2c","4",5,6.1
"mdib_ben_ext_reminder_3a","0",9,10.98
"mdib_ben_ext_reminder_3a","1",26,31.71
"mdib_ben_ext_reminder_3a","2",23,28.05
"mdib_ben_ext_reminder_3a","3",20,24.39
"mdib_ben_ext_reminder_3a","4",4,4.88
"mdib_ben_ext_reminder_3b","0",3,3.66
"mdib_ben_ext_reminder_3b","1",14,17.07
"mdib_ben_ext_reminder_3b","2",27,32.93
"mdib_ben_ext_reminder_3b","3",33,40.24
"mdib_ben_ext_reminder_3b","4",5,6.1
"mdib_ben_ext_neighbor_5b","0",12,14.63
"mdib_ben_ext_neighbor_5b","1",20,24.39
"mdib_ben_ext_neighbor_5b","2",28,34.15
"mdib_ben_ext_neighbor_5b","3",19,23.17
"mdib_ben_ext_neighbor_5b","4",3,3.66
"mdib_ben_ext_neighbor_5c","0",5,6.1
"mdib_ben_ext_neighbor_5c","1",13,15.85
"mdib_ben_ext_neighbor_5c","2",10,12.2
"mdib_ben_ext_neighbor_5c","3",41,50
"mdib_ben_ext_neighbor_5c","4",13,15.85
"mdib_ben_ext_exercise_7b","0",32,39.02
"mdib_ben_ext_exercise_7b","1",16,19.51
"mdib_ben_ext_exercise_7b","2",17,20.73
"mdib_ben_ext_exercise_7b","3",10,12.2
"mdib_ben_ext_exercise_7b","4",7,8.54
"mdib_ben_ext_exercise_7c","0",8,9.76
"mdib_ben_ext_exercise_7c","1",12,14.63
"mdib_ben_ext_exercise_7c","2",22,26.83
"mdib_ben_ext_exercise_7c","3",33,40.24
"mdib_ben_ext_exercise_7c","4",7,8.54
"mdib_ben_ext_walk_9a","0",6,7.32
"mdib_ben_ext_walk_9a","1",10,12.2
"mdib_ben_ext_walk_9a","2",24,29.27
"mdib_ben_ext_walk_9a","3",30,36.59
"mdib_ben_ext_walk_9a","4",12,14.63
"mdib_ben_ext_walk_9b","0",5,6.1
"mdib_ben_ext_walk_9b","1",14,17.07
"mdib_ben_ext_walk_9b","2",24,29.27
"mdib_ben_ext_walk_9b","3",31,37.8
"mdib_ben_ext_walk_9b","4",8,9.76
"mdib_ben_ext_job_10b","0",34,41.46
"mdib_ben_ext_job_10b","1",24,29.27
"mdib_ben_ext_job_10b","2",11,13.41
"mdib_ben_ext_job_10b","3",11,13.41
"mdib_ben_ext_job_10b","4",2,2.44
"mdib_ben_ext_job_10c","0",4,4.88
"mdib_ben_ext_job_10c","1",7,8.54
"mdib_ben_ext_job_10c","2",15,18.29
"mdib_ben_ext_job_10c","3",44,53.66
"mdib_ben_ext_job_10c","4",12,14.63
"mdib_ben_ext_stumble_11a","0",3,3.66
"mdib_ben_ext_stumble_11a","1",12,14.63
"mdib_ben_ext_stumble_11a","2",30,36.59
"mdib_ben_ext_stumble_11a","3",32,39.02
"mdib_ben_ext_stumble_11a","4",5,6.1
"mdib_ben_ext_stumble_11b","0",18,21.95
"mdib_ben_ext_stumble_11b","1",25,30.49
"mdib_ben_ext_stumble_11b","2",26,31.71
"mdib_ben_ext_stumble_11b","3",12,14.63
"mdib_ben_ext_stumble_11b","4",1,1.22
"mdib_ben_int_remember_1a","0",15,18.29
"mdib_ben_int_remember_1a","1",31,37.8
"mdib_ben_int_remember_1a","2",18,21.95
"mdib_ben_int_remember_1a","3",13,15.85
"mdib_ben_int_remember_1a","4",5,6.1
"mdib_ben_int_remember_1c","1",2,2.44
"mdib_ben_int_remember_1c","2",14,17.07
"mdib_ben_int_remember_1c","3",27,32.93
"mdib_ben_int_remember_1c","4",39,47.56
"mdib_ben_int_cleaning_4a","0",23,28.05
"mdib_ben_int_cleaning_4a","1",25,30.49
"mdib_ben_int_cleaning_4a","2",21,25.61
"mdib_ben_int_cleaning_4a","3",9,10.98
"mdib_ben_int_cleaning_4a","4",4,4.88
"mdib_ben_int_cleaning_4b","0",3,3.66
"mdib_ben_int_cleaning_4b","1",12,14.63
"mdib_ben_int_cleaning_4b","2",23,28.05
"mdib_ben_int_cleaning_4b","3",30,36.59
"mdib_ben_int_cleaning_4b","4",14,17.07
"mdib_ben_int_email_6a","0",4,4.88
"mdib_ben_int_email_6a","1",8,9.76
"mdib_ben_int_email_6a","2",19,23.17
"mdib_ben_int_email_6a","3",34,41.46
"mdib_ben_int_email_6a","4",17,20.73
"mdib_ben_int_email_6c","0",3,3.66
"mdib_ben_int_email_6c","1",15,18.29
"mdib_ben_int_email_6c","2",16,19.51
"mdib_ben_int_email_6c","3",32,39.02
"mdib_ben_int_email_6c","4",16,19.51
"mdib_ben_int_medication_8a","0",2,2.44
"mdib_ben_int_medication_8a","1",15,18.29
"mdib_ben_int_medication_8a","2",22,26.83
"mdib_ben_int_medication_8a","3",30,36.59
"mdib_ben_int_medication_8a","4",13,15.85
"mdib_ben_int_medication_8c","0",3,3.66
"mdib_ben_int_medication_8c","1",7,8.54
"mdib_ben_int_medication_8c","2",23,28.05
"mdib_ben_int_medication_8c","3",40,48.78
"mdib_ben_int_medication_8c","4",9,10.98
"mdib_ben_int_cough_12a","0",4,4.88
"mdib_ben_int_cough_12a","1",14,17.07
"mdib_ben_int_cough_12a","2",19,23.17
"mdib_ben_int_cough_12a","3",32,39.02
"mdib_ben_int_cough_12a","4",13,15.85
"mdib_ben_int_cough_12c","0",20,24.39
"mdib_ben_int_cough_12c","1",31,37.8
"mdib_ben_int_cough_12c","2",10,12.2
"mdib_ben_int_cough_12c","3",16,19.51
"mdib_ben_int_cough_12c","4",5,6.1
"mdib_neg_ext_server_2a","0",57,69.51
"mdib_neg_ext_server_2a","1",19,23.17
"mdib_neg_ext_server_2a","2",5,6.1
"mdib_neg_ext_server_2a","3",1,1.22
"mdib_neg_ext_reminder_3c","0",45,54.88
"mdib_neg_ext_reminder_3c","1",20,24.39
"mdib_neg_ext_reminder_3c","2",12,14.63
"mdib_neg_ext_reminder_3c","3",3,3.66
"mdib_neg_ext_reminder_3c","4",2,2.44
"mdib_neg_ext_neighbor_5a","0",24,29.27
"mdib_neg_ext_neighbor_5a","1",26,31.71
"mdib_neg_ext_neighbor_5a","2",16,19.51
"mdib_neg_ext_neighbor_5a","3",15,18.29
"mdib_neg_ext_neighbor_5a","4",1,1.22
"mdib_neg_ext_exercise_7a","0",29,35.37
"mdib_neg_ext_exercise_7a","1",24,29.27
"mdib_neg_ext_exercise_7a","2",15,18.29
"mdib_neg_ext_exercise_7a","3",10,12.2
"mdib_neg_ext_exercise_7a","4",4,4.88
"mdib_neg_ext_walk_9c","0",69,84.15
"mdib_neg_ext_walk_9c","1",6,7.32
"mdib_neg_ext_walk_9c","2",3,3.66
"mdib_neg_ext_walk_9c","3",3,3.66
"mdib_neg_ext_walk_9c","4",1,1.22
"mdib_neg_ext_job_10a","0",55,67.07
"mdib_neg_ext_job_10a","1",10,12.2
"mdib_neg_ext_job_10a","2",11,13.41
"mdib_neg_ext_job_10a","3",2,2.44
"mdib_neg_ext_job_10a","4",4,4.88
"mdib_neg_ext_stumble_11c","0",12,14.63
"mdib_neg_ext_stumble_11c","1",24,29.27
"mdib_neg_ext_stumble_11c","2",22,26.83
"mdib_neg_ext_stumble_11c","3",18,21.95
"mdib_neg_ext_stumble_11c","4",6,7.32
"mdib_neg_int_remember_1b","0",52,63.41
"mdib_neg_int_remember_1b","1",19,23.17
"mdib_neg_int_remember_1b","2",7,8.54
"mdib_neg_int_remember_1b","3",2,2.44
"mdib_neg_int_remember_1b","4",2,2.44
"mdib_neg_int_cleaning_4c","0",35,42.68
"mdib_neg_int_cleaning_4c","1",31,37.8
"mdib_neg_int_cleaning_4c","2",7,8.54
"mdib_neg_int_cleaning_4c","3",7,8.54
"mdib_neg_int_cleaning_4c","4",2,2.44
"mdib_neg_int_email_6b","0",52,63.41
"mdib_neg_int_email_6b","1",20,24.39
"mdib_neg_int_email_6b","2",8,9.76
"mdib_neg_int_email_6b","3",1,1.22
"mdib_neg_int_email_6b","4",1,1.22
"mdib_neg_int_medication_8b","0",44,53.66
"mdib_neg_int_medication_8b","1",22,26.83
"mdib_neg_int_medication_8b","2",8,9.76
"mdib_neg_int_medication_8b","3",5,6.1
"mdib_neg_int_medication_8b","4",3,3.66
"mdib_neg_int_cough_12b","0",57,69.51
"mdib_neg_int_cough_12b","1",19,23.17
"mdib_neg_int_cough_12b","2",3,3.66
"mdib_neg_int_cough_12b","3",2,2.44
"mdib_neg_int_cough_12b","4",1,1.22
