"domain","item","meaning","n_missing","n_perc_missing"
"int","mdib_ben_int_remember_1c","ben",1,"1 (1.1)"
"ext","mdib_neg_ext_reminder_3c","neg",1,"1 (1.1)"
"ext","mdib_neg_ext_neighbor_5a","neg",2,"2 (2.3)"
"ext","mdib_ben_ext_neighbor_5b","ben",2,"2 (2.3)"
"ext","mdib_ben_ext_neighbor_5c","ben",2,"2 (2.3)"
"int","mdib_ben_int_email_6a","ben",4,"4 (4.5)"
"int","mdib_neg_int_email_6b","neg",4,"4 (4.5)"
"int","mdib_ben_int_email_6c","ben",4,"4 (4.5)"
"ext","mdib_neg_ext_exercise_7a","neg",3,"3 (3.4)"
"ext","mdib_ben_ext_exercise_7b","ben",3,"3 (3.4)"
"ext","mdib_ben_ext_exercise_7c","ben",3,"3 (3.4)"
"int","mdib_ben_int_medication_8a","ben",3,"3 (3.4)"
"int","mdib_neg_int_medication_8b","neg",3,"3 (3.4)"
"int","mdib_ben_int_medication_8c","ben",3,"3 (3.4)"
"ext","mdib_ben_ext_walk_9a","ben",3,"3 (3.4)"
"ext","mdib_ben_ext_walk_9b","ben",3,"3 (3.4)"
"ext","mdib_neg_ext_walk_9c","neg",3,"3 (3.4)"
"ext","mdib_neg_ext_job_10a","neg",4,"4 (4.5)"
"ext","mdib_ben_ext_job_10b","ben",3,"3 (3.4)"
"ext","mdib_ben_ext_job_10c","ben",3,"3 (3.4)"
"ext","mdib_ben_ext_stumble_11a","ben",3,"3 (3.4)"
"ext","mdib_ben_ext_stumble_11b","ben",3,"3 (3.4)"
"ext","mdib_neg_ext_stumble_11c","neg",3,"3 (3.4)"
"int","mdib_ben_int_cough_12a","ben",3,"3 (3.4)"
"int","mdib_neg_int_cough_12b","neg",3,"3 (3.4)"
"int","mdib_ben_int_cough_12c","ben",3,"3 (3.4)"
